"Amount expected: %s %s","Forventet beløp: %s %s"
"Amount received: %s %s","Mottatt beløp: %s %s"
"Authorized payment.","Autorisert betaling"
"Cancel payment","Kanseller betaling"
"Cannot connect to Trustly services.","Kan ikke koble til Trustly service."
"Cannot find the order %s.","Kan ikke finne ordre %s."
"Cannot find the relation of Trustly order %s for user %s.","Kan ikke finne relasjonen av Trustly ordre %s for bruker %s."
"Cannot verify the authenticity of Trustly communication.","Kan ikke bekrefte påliteligheten av Trustly kommunikasjon."
"Could not connect to Trustly.","Kan ikke koble til Trustly."
"Credit memo has been created automatically","Kreditt notat er automatisk generert"
"Date of transaction: %s","Transaksjon dato: %s"
"Debit amount: %s %s","Debet beløp: %s %s"
"Error processing Trustly communication.","Det oppsto en feil under Trustly kommunikasjon."
"Failed to communicate with Trustly.","Kommunikasjon med Trustly mislyktes."
"Failed to display the payment method.","Kunne ikke vise betalings metode."
"Instant bank payment. Free. No registration.", "Omgående bankbetaling. Gratis. Ingen registrering."
"Instant online banking payment. Supports all banks. Free of charge. Use your regular bank login.", "Omgående bankbetaling via nettet. Støtter alle norske banker. Gratis. Logg deg inn som vanlig i banken."
"Invalid payment.","Ugyldig betaling."
"Invoice for Trustly OrderId #%s created","Faktura for Trustly OrdreId #%s laget"
"Invoice: %s","Faktura: %s"
"Invoiced from Trustly payment","Faktura fra Trustly betaling"
"Notification id: %s","Varsel id: %s"
"Payment amount: %s %s","Betalings beløp: %s %s"
"Payment failed, debit received.","Betalingen mislyktes, debet er mottatt."
"Pending payment.","Utestående betaling."
"Trustly - Instant bank payment", "Trustly - Omgående bankbetaling"
"Trustly order has been canceled.","Trustly ordre er kansellert"
"Trustly orderid: %s","Trustly ordreid: %s"
"Trustly payment module has not been configured.","Trustly betaling modul er ikke konfigurert enda."
"Trustly payment","Trustly betaling"
"Trustly","Trustly"
"Unable to cancel Trustly order.","Klarte ikke å kansellere Trustly ordren."
"Unable to set payment method.","Klarte ikke å velge betalings metode."
"Use order currency","Bruk ordre valuta"
"Use the currency the user has selected in the store when placing the order rather then the store base currency.","Bruk valutaen som brukeren har valgt i butikken ved bestilling av ordren snarere enn butikkens base valuta."
"What is Trustly?","Hva er Trustly?"
